id,autor,titulo,editorial,anio,clasificacion
1,"Hernández Sampieri, R., C. Fernández Collado y P.
Baptista Lucio",Metodología de la investigacion,McGraw-Hill/Interamerica,2003,AZ 105 H47 2003
2,"CARTER Alexander , ARVID J. Burke","Métodos de investigacion : Con modelos tomados de la
literatura pedagogica",Unión panamericana,1962,Z711.A4318 1962
3,"LOPEZ CANO, Jose Luis",Métodos e hipótesis científicos,Trillas,1978,Q175 L6632 1978
4,"ARIAS GALICIA, Fernando","Lecturas para el curso de Metodología de la
investigacion",Trillas,1980,Q1805 L43  1980
5,"MAQUEDO, Ana María",Redacción,Limusa,1993,PN145 M37 1993
6,"BOSCH GARCIA, Carlos",La tecnica de investigacion documental,Trillas,1990,Q180A1B62 1990
7,"Cázares Hernández, L., M. Christen, E. Jaramillo Levi, L. Villaseñor Roca & L. E. Zamudio Rodríguez",Técnicas actuales de investigación documentación,"Trillas, UAM",1990,Q181.A1 T41 1990
8,"SJBERG, Gideon, NETT, Roger",Metodología de la investigacion social,Trillas,1980,H62 S452 1980
9,"MÜCH  GALINDO, Lourdes , ANGELES, Ernesto",Métodos y técnicas de investigación,Trillas,1990,Q1802M85 1990
10,"BAENA, Gillermina",Instrumentos de la investigación,"Editores mexicanos
unidos",1981,Q180.A1 B333 1981
11,"DE LA TORRE  VILLAR, Ernesto, NAVARRO DE
ANDA, Ramiro",Metodología de la investigación,Mc Graw Hill,[199-],Z1001 T67 1998
12,"GHIGLIONE, Rodolfo, MATALON, Benjamín",Las encuestas sociológicas: teoría y practica,Trillas,1989,HA29 G4518 1989
13,"ALVAREZ-GAYOU JURGENSON,  Juan Luis","Cómo hacer una investigación cualitativa: fundamentos
y metodología",Paidós,2004,Q180.A1 A555 2004
14,"SABINO A., Carlos",Cómo hacer una tesis y elaborar todo tipo de escritos,Lumen,1998,LB2369 S335 1998
15,"ORNA, Elisabeth, STEVENS, Graham",Cómo usar la informacion en trabajos de investigación,Gedisa,2000,T58.64 O7518 2000
16,"Tamayo y Tamayo, M.",El proceso de la investigación científica,Limusa,2004,Q180.55M4 T34 2004
17,"ANDER-EGG, Ezequiel",Cómo organizar el trabajo de investigacion,Argentina: Lumen,2000,H62 A477 2000
18,"GARCIA DEANTES, Elia","El periódico mural : manual de apoyo para las materias, actividades para escolares y didáctica general",Trillas,2002,LB1043.58 G37  2002
19,"HERROZ LEON, Gustavo",El arte de aprender a estudiar,Trillas,1991,LB1049 H47 1991
20,"JIMENEZ-OTTALENGO, Regina,  MORENO VALLE,
Lucina",Sociología de la educación,Trillas,2003,LC189 J57 2003
21,"ELEXPURU ALBIZURRI, Itziar, MEDRANO
SAMANIEGO, Concepción, dir.",Desarrollo de los valores en las instituciones educativas,"Bilbao : Ministerio de Educacion, Cultura y Deporte, Secretaria General Técnica",2001,LC272 D47 2001
22,"Bolles, R. C.",Test Psicológicos,Prentice Hall,1998,BF431 .A52218 1998
23,"WOOLFOLK, Anita",Psicología Educativas,Prentice Hall,1999,LB1051 W6618 1999
24,"ROMAN PEREZ, Martiniano,  DIEZ LOPEZ, Eloísa",Aprendizaje y curriculum,España: EOS,1999,LB1028.38 R648 1999
25,CARLOS H. WEISS,Investigacion evaluativa : métodos para determinar la eficiencia de los programas de accion,Trillas,1992,LB1027 W44  1992
26,"DIJOU, Sidney W.,  RAYEK, Ely",Análisis conductual aplicado a la instrucción,Trillas,1985,LB1051 B4515  1985
27,"MENDOZA NUÑEZ, Alejandro",La técnica de la tormenta de ideas y la creatividad en la educación como estrategia didáctica,Trillas,1998,LB1027.43 M45 1998
28,"SANTILLANA GONZÁLEZ, Juan Ramón",Auditoria Fundamentos,Thomson,2004,HF5667 S3595 2004
29,"HUSENMAN, Samuel","Introducción a la dinamica de grupo : el grupo t como
herramienta de laboratorio",Trillas,1987,HF5548.8 H87 1987
30,"CAMPBELL, W. J","Scholars in context : the affects of environments en
learning",Sydney : J. Wiley,1970,LC191 C34 1970
31,"BATALLA, Ma. Agustina MENDEZ RAMIREZ,
Humberto","Didáctica de las ciencias biologicas: anatomía, fisiología
e higiene",OASIS,1969,QH315 M42 1969
32,"CHINOY, Ely",La sociedad: una introducción a la sociología,"Fondo de Cultura
Economica",1966,HM51 C49 1966
33,"TAKAYANAGUIG AXEL, Didriksson","La universidad del futuro : un estudio sobre las relaciones entre la educacion superior, la ciencia y la tecnologia en estados unidos de norteamerica, japon, suecia y mexico","UNAM, Centro de Investigaciones y Servicios Educativos : UNAM, Direccion General de Apoyo al Personal Academico",1993,LB1028.3 .D52 1993
34,"BROWN, William F.",Guia de estudio efectivo,Trillas,"1975.
11
reimp. 1986",LB1049 B764 1989
35,"Gross, R. D.",La psicología ciencia de la mente y la conducta,Manual moderno,1994,BF121 G7718 1994
36,"SOLANO FLORES, Guillermo",Principios de analisis estructural educativo : metodologia y tecnicas para la educacion,Trillas,"1989
reimp. 1994",LB1570 S62 1994
37,"VEGA, Alfonso, [et. al]",Métodos de investigación II,Formación de Investigadores Jovenes,1993,Q181 A2 M48 1993
38,"SOMMER, Bobbe, MALTZ, Maxwell",Psico-cibernetica 2000,Prentice Hall,1998,BF637.S8 M34 1998
39,"FIERRO, Alfredo",Personalidad : sistema de conductas,Trillas,1983,BF76.7 M47  1983
40,,Escuelas y carreras : sistema nacional de educacion tecnologica : Catalogo 202-2003,Subsecretaria de Educacion e Investigacion Tecnologicas : Consejo del Sistema Nacional de Educacion Tecnologica,2003,T78 E73 2003
41,"GELDARD, Frank Arthur",Fundamentos de psicología,Trillas,1990,BF121 K415 1990
